d,u_*,threshold_type,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.00035,0.323431319327229,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.00035,0.332010520266643,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.00035,0.333445430307532,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.00035,0.380672642019946,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.00035,0.379964299176852,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000146044102133,0.243920972644377,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000247101767126,0.291793313069909,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000346377363624,0.332826747720365,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
7.43253085515871E-05,0.179331306990881,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000149610030824,0.200607902735562,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000250704347306,0.22112462006079,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.000400322166666,0.250759878419453,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,2.5,Ghent,cornelis2004,"Cornelis et al., 2004"
0.00012,0.26,impact,98869.72,1.17493,2650,quartz,1.54251961420783E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.5,Cemagref,andreotti2010,"Andreotti et al., 2010"
0.00025,0.21,impact,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.5,Aberdeen,jones1979,"Jones \& Willetts, 1979"
0.000253604757281,0.21,impact,,1.10448,2650,loam,1.64091026575511E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,USDA,selah1995,"Selah \& Fryrear, 1995"
0.000235816774618,0.21,impact,,1.10448,2650,loam,1.64091026575511E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,USDA,selah1995,"Selah \& Fryrear, 1995"
0.000214146830997,0.21,impact,,1.10448,2650,loam,1.64091026575511E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,USDA,selah1995,"Selah \& Fryrear, 1995"
8.76939024624285E-05,0.21,impact,,1.10448,2650,clay,1.64091026575511E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,USDA,selah1995,"Selah \& Fryrear, 1995"
5.94680868189636E-05,0.21,impact,,1.10448,2650,clay,1.64091026575511E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.3,USDA,selah1995,"Selah \& Fryrear, 1995"
